Australia 2nd Innings 103-2 (29 Ov),,,,,,,,
Batsman, ,R,B,4s,6s,SR,,
David Warner,lbw b Ashwin,13,29,1,0,44.83,,
Will Pucovski,c (sub)W Saha b Siraj,10,16,2,0,62.5,,
Marnus Labuschagne,batting,47,69,6,0,68.12,,
Steven Smith,batting,29,63,3,0,46.03,,
Fall of Wickets,,,,,,,,
Bowler, ,O,M,R,W,NB,WD,ECO
Jasprit Bumrah, ,8,1,26,0,0,0,3.2
Mohammed Siraj, ,8,2,20,1,1,0,2.5
Navdeep Saini, ,7,1,28,0,2,0,4
Ravichandran Ashwin, ,6,0,28,1,0,0,4.7
India 1st Innings 244-10 (100.4 Ov),,,,,,,,
Batsman, ,R,B,4s,6s,SR,,
Rohit, c and b Hazlewood,26,77,3,1,33.77,,
Shubman Gill,c Green b Cummins,50,101,8,0,49.5,,
Pujara,c Paine b Cummins,50,176,5,0,28.41,,
Rahane (c), b Cummins,22,70,1,1,31.43,,
Hanuma Vihari,run out (Hazlewood),,4,38,0,0,,
Pant (wk),c Warner b Hazlewood,36,67,4,0,53.73,,
Ravindra Jadeja,not out,28,37,5,0,75.68,,
Ashwin,run out (Cummins/Labuschagne),,10,15,2,0,,
Navdeep Saini,c Wade b Starc,3,13,0,0,23.08,,
Bumrah,run out (Labuschagne),,0,2,0,0,,
Siraj,c Paine b Cummins,6,10,1,0,60,,
